iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Wellcome Global Monitor Trust in Scientists Index (recoded into 3 categories) High Trust,"Q11E How much do you trust each of the following? How about doctors and nurses in this country? Do you trust them a lot, some, not much, or not at all? A lot","Q11B How much do you trust each of the following? How about the national government in this country? Do you trust them a lot, some, not much, or not at all? A lot"
ZAF,Africa,South Africa,781941,21378,13184.257,360.453,5383078,90.764,59308690,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,2.32,64.13,0.699,0.132319491,0.458249359,0.186397873
KOR,Asia,South Korea,33375,522,650.976,10.182,2973210,57.992,51269183,527.967,43.4,13.914,8.622,35938.374,85.998,6.8,12.27,83.03,0.903,0.144754367,0.590815925,0.102309396
ESP,Europe,Spain,1628208,44668,34824.416,955.367,17249511,368.936,46754783,93.105,45.5,19.436,13.799,34272.36,99.403,7.17,2.97,83.56,0.891,0.144754367,0.590815925,0.052697029
LKA,Asia,Sri Lanka,22501,107,1050.798,4.997,790896,36.935,21413250,341.955,34.1,10.069,5.331,11669.077,197.093,10.68,3.6,76.98,0.77,0.144754367,0.590815925,0.154630602
SDN,Africa,Sudan,16864,1215,384.59,27.709,0,0,43849269,23.258,19.7,3.548,2.034,4466.507,431.388,15.67,0.8,65.31,0.502,0.144754367,0.590815925,0.305232591
SUR,South America,Suriname,5311,117,9053.345,199.443,0,0,586634,3.612,29.6,6.933,4.229,13767.119,258.314,12.54,3.1,71.68,0.72,0.144754367,0.590815925,0.305232591
SWZ,Africa,Swaziland,6362,120,5483.707,103.434,0,0,1160164,79.492,21.5,3.163,1.845,7738.975,333.436,3.94,2.1,60.19,0.588,0.144754367,0.590815925,0.305232591
SWE,Europe,Sweden,243129,6681,24073.918,661.533,0,0,10099270,24.718,41,19.985,13.433,46949.283,133.982,4.79,2.22,82.8,0.933,0.263300412,0.658141233,0.173951698
CHE,Europe,Switzerland,317017,4236,36629.809,489.45,2652082,306.435,8654618,214.243,43.1,18.436,12.644,57410.166,99.739,5.59,4.53,83.78,0.944,0.17144576,0.636048796,0.321026283
TWN,Asia,Taiwan,603,7,25.318,0.294,106075,4.454,23816775,673,42.2,15.72,8.353,26910,103.957,8.8,69.83,80.46,0.907,0.043676758,0.294644847,0.050386831
TJK,Asia,Tajikistan,12082,86,1266.77,9.017,0,0,9537642,64.281,23.3,3.466,2.155,2896.913,427.698,7.11,4.8,71.1,0.65,0.42226429,0.759186411,0.050386831
TZA,Africa,Tanzania,509,21,8.521,0.352,0,0,59734213,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,0.7,65.46,0.538,0.305503029,0.52306619,0.555466562
THA,Asia,Thailand,3966,60,56.82,0.86,1215725,17.417,69799978,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,2.1,77.15,0.755,0.092401734,0.524727022,0.220850177
TLS,Asia,Timor,30,0,22.754,0,0,0,1318442,87.176,18,3.556,1.897,6570.102,335.346,6.86,5.9,69.5,0.625,0.335762108,0.62979485,0.554615491
TGO,Africa,Togo,2926,64,353.436,7.731,146446,17.689,8278737,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.7,61.04,0.503,0.009703225,0.151342209,0.042581281
TTO,North America,Trinidad and Tobago,6586,118,4705.997,84.316,36241,25.896,1399491,266.886,36.2,10.014,5.819,28763.071,228.467,10.97,3,73.51,0.784,0.009703225,0.151342209,0.042581281
TUN,Africa,Tunisia,93770,3106,7934.092,262.806,225033,19.041,11818618,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,2.3,76.7,0.735,0.150735745,0.345273529,0.082344079
TUR,Asia,Turkey,481198,13191,5705.517,156.404,17901868,212.261,84339067,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,2.81,77.69,0.791,0.146499962,0.434849383,0.303898191
UGA,Africa,Uganda,19588,197,428.237,4.307,618783,13.528,45741000,213.759,16.4,2.168,1.308,1697.707,213.333,2.5,0.5,63.37,0.516,0.180125386,0.403636508,0.249280766
UKR,Europe,Ukraine,693407,11909,15855.189,272.307,4419791,101.061,43733759,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,8.8,72.06,0.751,0.096179948,0.138758892,0.021384849
ARE,Asia,United Arab Emirates,165250,567,16708.121,57.328,16354779,1653.601,9890400,112.442,34,1.144,0.526,67293.483,317.84,17.26,1.2,77.97,0.863,0.266901891,0.412933219,0.021384849
GBR,Europe,United Kingdom,1589301,57551,23411.321,847.759,36637685,539.694,67886004,272.898,40.8,18.517,12.527,39753.244,122.137,4.28,2.54,81.32,0.922,0.35379668,0.659692782,0.117175653
USA,North America,United States,13091758,264859,39551.823,800.172,181506865,548.355,331002647,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,2.77,78.86,0.924,0.254170255,0.507068378,0.094413552
VIR,North America,United States Virgin Islands,1521,23,14565.757,220.258,0,0,104423,306.48,42.2,18.601,10.799,35938,273.67,12.26,18.7,80.58,0.894,0.254170255,0.507068378,0.094413552
URY,South America,Uruguay,5303,74,1526.602,21.303,420422,121.029,3473727,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,2.8,77.91,0.804,0.196128482,0.436329755,0.13019159
UZB,Asia,Uzbekistan,72409,607,2163.452,18.136,0,0,33469199,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,4,71.72,0.71,0.542721876,0.612246179,0.905022284
VEN,South America,Venezuela,101215,884,3559.404,31.087,0,0,28435943,36.253,29,6.614,3.915,16745.022,204.85,6.47,0.8,72.06,0.761,0.16847115,0.281364035,0.119005632
VNM,Asia,Vietnam,1339,35,13.756,0.36,1260799,12.953,97338583,308.127,32.6,7.15,4.718,6171.884,245.465,6,2.6,75.4,0.694,0.042596298,0.229976905,0.119005632
YEM,Asia,Yemen,2148,614,72.018,20.586,0,0,29825968,53.508,20.3,2.922,1.583,1479.147,495.003,5.35,0.7,66.12,0.452,0.175097189,0.270678297,0.14693912
ZMB,Africa,Zambia,17569,357,955.67,19.419,382915,20.829,18383956,22.995,17.7,2.48,1.542,3689.251,234.499,3.94,2,63.89,0.588,0.171863056,0.563968541,0.373231361
ZWE,Africa,Zimbabwe,9714,275,653.572,18.502,164619,11.076,14862927,42.729,19.6,2.822,1.882,1899.775,307.846,1.82,1.7,61.49,0.535,0.082426905,0.246716073,0.189434592
