iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index,Wellcome Global Monitor Trust in Scientists Index (recoded into 3 categories) High Trust,"Q11E How much do you trust each of the following? How about doctors and nurses in this country? Do you trust them a lot, some, not much, or not at all? A lot","Q11B How much do you trust each of the following? How about the national government in this country? Do you trust them a lot, some, not much, or not at all? A lot"
DOM,North America,Dominican Republic,141777,2324,13069.529,214.235,687292,63.357,10847904,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,1.6,74.08,0.736,0.13734003,0.341610058,0.156746386
ECU,South America,Ecuador,189534,13358,10742.694,757.125,588759,33.371,17643060,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,1.5,77.01,0.752,0.076270705,0.28728573,0.107929794
EGY,Africa,Egypt,114832,6608,1122.125,64.573,0,0,102334403,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,1.6,71.99,0.696,0.240193057,0.378542812,0.107929794
SLV,North America,El Salvador,38405,1107,5921.031,170.67,529430,81.624,6486201,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,1.3,73.32,0.674,0.087669836,0.260081276,0.079484798
GNQ,Africa,Equatorial Guinea,5146,85,3667.894,60.585,0,0,1402985,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,2.1,58.74,0.591,0.087669836,0.260081276,0.079484798
ERI,Africa,Eritrea,566,0,159.597,0,0,0,3546427,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,0.7,66.32,0.44,0.087669836,0.260081276,0.079484798
EST,Europe,Estonia,11323,104,8535.746,78.4,464025,349.801,1326539,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,4.69,78.74,0.871,0.20070252,0.334368355,0.10938882
ETH,Africa,Ethiopia,108438,1686,943.238,14.666,1615769,14.055,114963583,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,0.3,66.6,0.463,0.153335448,0.42429441,0.59809355
FJI,Oceania,Fiji,38,2,42.39,2.231,15610,17.413,896444,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,2.3,67.44,0.741,0.153335448,0.42429441,0.59809355
FIN,Europe,Finland,23766,393,4289.336,70.929,1880109,339.326,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,3.28,81.91,0.92,0.350694245,0.731791554,0.158468191
FRA,Europe,France,2196199,51914,33646.098,795.33,0,0,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,5.98,82.66,0.901,0.209001797,0.673081852,0.127053779
GAB,Africa,Gabon,9191,59,4129.435,26.508,0,0,2225728,7.859,23.1,4.45,2.976,16562.413,259.967,7.2,6.3,66.47,0.702,0.085589796,0.204761243,0.04807402
GMB,Africa,Gambia,3731,123,1543.864,50.897,0,0,2416664,207.566,17.5,2.339,1.417,1561.767,331.43,1.91,1.1,62.05,0.46,0.085589796,0.204761243,0.04807402
GEO,Asia,Georgia,127942,1195,32072.296,299.561,0,0,3989175,65.032,38.7,14.864,10.244,9745.079,496.218,7.11,2.6,73.77,0.78,0.054578999,0.219180176,0.083186089
DEU,Europe,Germany,1028089,15965,12270.716,190.55,26456866,315.775,83783945,237.016,46.6,21.453,15.957,45229.245,156.139,8.31,8,81.33,0.936,0.246773634,0.666719572,0.164826829
GHA,Africa,Ghana,51225,323,1648.54,10.395,582707,18.753,31072945,126.719,21.1,3.385,1.948,4227.63,298.245,4.97,0.9,64.07,0.592,0.205028239,0.429550844,0.266112433
GRC,Europe,Greece,101287,2102,9717.591,201.668,2332931,223.824,10423056,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,4.21,82.24,0.87,0.095081726,0.292203299,0.022553382
